------Authors-----

vertex_id,DBLP_id,name
220,2171,Ouri Wolfson
221,2174,Andrea Calì
222,2175,Domenico Lembo
223,2176,Riccardo Rosati
224,2177,Curtis E. Dyreson
225,2179,Alberto O. Mendelzon
226,2180,Alejandro A. Vaisman
227,2181,Stefano Paraboschi
228,2183,Elena Baralis
229,2184,Ernest Teniente
230,2185,Riccardo Torlone
231,2194,Peter Z. Revesz
232,2215,Keng Siau
233,2217,Robert Winter
234,2257,Il-Yeol Song
235,2270,Hyoung-Joo Kim
236,2275,Chiang Lee
237,2276,Latifur Khan
238,2278,Dennis McLeod
239,2279,Ling Liu
240,2280,Calton Pu
241,2285,Wilfred Ng
242,2286,Mark Levene
243,2333,Colette Rolland
244,2342,Nick Bassiliades
245,2344,Athman Bouguettaya
246,2346,Mourad Ouzzani
247,2348,Elena Ferrari
248,2356,Zahir Tari
249,2366,Bertram Ludäscher
250,2437,Martin Staudt
251,2477,Longin Jan Latecki
252,2480,Volker Markl
253,2483,Byoung-Tak Zhang
254,2528,Lois M. L. Delcambre
255,2530,Jérôme Euzenat
256,2534,Alexandra Poulovassilis
257,2536,Gerhard Friedrich
258,2538,Markus Stumptner
259,2541,Dongwon Lee
260,2542,Wesley W. Chu
261,2551,Gustavo Alonso
262,2552,C. Mohan
263,2554,Indrakshi Ray
264,2556,Sharma Chakravarthy
265,2558,Roger S. Barga
266,2562,Abdelsalam Helal
267,2565,Ahmed K. Elmagarmid
268,2573,Krithi Ramamritham
269,2577,Jayavel Shanmugasundaram
270,2585,Anthony Hunter
271,2587,Patrick Bosc
272,2588,Henri Prade
273,2592,David Heckerman
274,2595,Doron Rotem
275,2597,Gregory Piatetsky-Shapiro
276,2599,Rudolf Kruse
277,2601,W. Bruce Croft
278,2602,Esteban Zimányi
279,2608,Soon Myoung Chung
280,2610,Elke A. Rundensteiner
281,2617,Sukho Lee
282,2623,Michalis Vazirgiannis
283,2767,John F. Roddick
284,2780,Sudipto Guha
285,2781,Rajeev Rastogi
286,2782,Kyuseok Shim
287,2784,Ah-Hwee Tan
288,2785,Chew Lim Tan
289,2786,Sam Yuan Sung
290,2788,Vijay V. Raghavan
291,2791,Tok Wang Ling
292,2792,Ji-Rong Wen
293,2793,HongJiang Zhang
294,2794,Yiyu Yao
295,2795,Beng Chin Ooi
296,2796,Ron Sacks-Davis
297,2797,Kian-Lee Tan
298,2804,Jason Tsong-Li Wang
299,2807,Vassilis J. Tsotras
300,2809,Arantza Illarramendi
301,2810,Alistair Moffat
302,2821,Klemens Böhm
303,2824,Marti A. Hearst
304,2834,William I. Grosky
305,2835,Farshad Fotouhi
306,2840,Ramesh Jain
307,2853,César A. Galindo-Legaria
308,2854,Goetz Graefe
309,2862,Sriram Padmanabhan
310,2868,Attilio Giordana
311,2869,Lorenza Saitta
312,2873,Nick Cercone
313,2874,Jiawei Han
314,2875,Andrew K. C. Wong
315,2882,Brian R. Gaines
316,2891,Willi Klösgen
317,2893,Ryszard S. Michalski
318,2894,Larry Kerschberg
319,2904,Daniel E. O'Leary
320,2905,Edwin P. D. Pednault
321,2908,Tom M. Mitchell
322,2911,Edward Sciore
323,2916,Padhraic Smyth
324,2919,Usama M. Fayyad
325,2928,Jan M. Zytkow
326,2930,Rakesh Agrawal
327,2931,Ramakrishnan Srikant
328,2932,Hannu Toivonen
329,2934,Chidanand Apté
330,2939,Wray L. Buntine
331,2942,Saso Dzeroski
332,2944,Daryl Pregibon
333,2949,Vladimir Vapnik
334,2950,Yongjian Fu
335,2952,Chun-Nan Hsu
336,2953,Craig A. Knoblock
337,2955,Wei-Min Shen
338,2958,Carlo Zaniolo
339,2965,Fabio Casati
340,2969,David W. Embley
341,2975,Mike P. Papazoglou
342,2979,Stefano Spaccapietra
343,2980,Michael Schrefl
344,2981,Maguelonne Teisseire
345,2982,Pascal Poncelet
346,2983,Rosine Cicchetti
347,2986,Dino Pedreschi
348,2987,Franco Turini
349,2992,Rodney W. Topor
350,3020,Wil M. P. van der Aalst
351,3033,V. S. Subrahmanian
352,3034,Piero A. Bonatti
353,3035,Thomas Eiter
354,3036,Sarit Kraus
355,3083,Nelson Mendonça Mattos
356,3087,Peter C. Lockemann
357,3090,Peter M. Schwarz
358,3091,Laura M. Haas
359,3092,Dimitrios Georgakopoulos
360,3094,Panos K. Chrysanthis
361,3097,Omran A. Bukhres
362,3101,Arnon Rosenthal
363,3104,Peter Muth
364,3106,Erich J. Neuhold
365,3107,Sridhar Ramaswamy
366,3113,Hans-Jörg Schek
367,3121,Marc Gyssens
368,3123,Dirk Van Gucht
369,3131,Bernhard Mitschang
370,3132,Hamid Pirahesh
371,3133,Marc H. Scholl
372,3135,Peter M. G. Apers
373,3136,Jim Gray
374,3149,John Grant
375,3155,Tomasz Imielinski
376,3159,Vladimir Lifschitz
377,3164,Yehoshua Sagiv
378,3170,Shashi Shekhar
379,3177,Narain H. Gehani
380,3178,H. V. Jagadish
381,3180,Eric Simon
382,3181,Jerry Kiernan
383,3186,Sholom M. Weiss
384,3190,Peter Buneman
385,3191,Dan Suciu
386,3192,Holger H. Hoos
387,3195,Ian H. Witten
388,3197,Eibe Frank
389,3199,Christos Faloutsos
390,3217,Ralf Hartmut Güting
391,3218,Markus Schneider
392,3222,David A. Patterson
393,3224,Marco Gori
394,3231,Pat Langley
395,3235,Alan Fekete
396,3356,Timothy L. Bailey
397,3358,Charles Elkan
398,3360,Diane J. Cook
399,3361,Lawrence B. Holder
400,3374,Minoru Kanehisa
401,3419,Jia-Huai You
402,3422,Edward A. Fox
403,3427,Gaston H. Gonnet
404,3438,Arif Ghafoor
405,3449,Carole A. Goble
406,3455,Katsumi Tanaka
407,3457,Ishwar K. Sethi
408,3460,Wei Li
409,3461,Miron Livny
410,3465,Jayant R. Haritsa
411,3467,Vijay Kumar
412,3470,Sang Hyuk Son
413,3473,Alexander Thomasian
414,3475,Philip S. Yu
415,3483,Stanley Y. W. Su
416,3497,Anil K. Jain
417,3550,Anastasia Analyti
418,3551,Henk M. Blanken
419,3556,Karl Aberer
420,3557,Arjen P. de Vries
421,3564,Katharina Morik
422,3567,Matthias Jarke
423,3574,Pankaj K. Agarwal
424,3630,Moshe Y. Vardi
425,3635,Daniel Barbará
426,3638,Ronen Feldman
427,3643,Jean-François Boulicaut
428,3647,Nitesh V. Chawla
429,3656,Geoffrey Holmes
430,3658,Bernhard Pfahringer
431,3659,Johannes Fürnkranz
432,3660,Pierre Geurts
433,3662,Bart Goethals
434,3663,Ricardo Vilalta
435,3664,Christophe G. Giraud-Carr
436,3665,Pavel Brazdil
437,3667,Haixun Wang
438,3670,Maria Halkidi
439,3675,Gary M. Weiss
440,3679,Nada Lavrac
441,3680,Blaz Zupan
442,3683,Tao Li
443,3684,Sheng Ma
444,3685,Mitsunori Ogihara
445,3696,Chotirat (Ann) Ratanamaha
446,3697,Jessica Lin
447,3698,Gautam Das
448,3726,Ying Yang
449,3727,Geoffrey I. Webb
450,3728,Xindong Wu
451,3731,Howard J. Hamilton
452,3732,Paola Sebastiani
453,3734,Marco Ramoni
454,3735,Wei Wang 0010
455,3736,Jiong Yang
456,3738,Giorgio Ghelli
457,3764,Yorick Wilks
458,3766,Norbert Fuhr
459,3767,Andreas Hotho
460,3768,Alexander Maedche
461,3769,Steffen Staab
462,3775,Thorsten Joachims
463,3787,Frank van Harmelen
464,3795,Tiziana Catarci
465,3815,Marco A. Casanova
466,3818,Yahiko Kambayashi
467,3820,Guy M. Lohman
468,3822,Bruce G. Lindsay
469,3830,Z. Meral Özsoyoglu
470,3831,Gultekin Özsoyoglu
471,3835,Kyu-Young Whang
472,3850,John-Jules Ch. Meyer
473,3859,Milind Tambe
474,3899,Qing Li
475,3946,Yutaka Matsuo
476,3950,Simon Parsons
477,3954,Mitsuru Ishizuka
478,3979,Timothy W. Finin
479,3989,Katia P. Sycara
480,3990,Ronaldo Menezes
481,4004,Munindar P. Singh
482,4005,Nicholas R. Jennings
483,4006,Michael Wooldridge
484,4037,Oscar Díaz
